N,True Alpha,True Nu,True Tau,Est Alpha,Est Nu,Est Tau,Bias Alpha,Bias Nu,Bias Tau,SE Alpha,SE Nu,SE Tau
10,1.649261387979636,1.069448215624948,0.20063936944398406,1.618177501004759,1.3578380355643425,0.19570500760355836,0.031083886974877073,-0.2883898199393944,0.0049343618404256995,0.0009662080294669326,0.08316868824467631,2.4347926772249295e-05
10,1.6232296113992986,1.4073888211104222,0.412858069343885,1.2858937089101348,1.0780775002011178,0.3753104420082309,0.3373359024891638,0.3293113209093044,0.03754762733565414,0.11379551110817862,0.10844594607903085,0.0014098243185371622
10,0.8555297479745567,1.5829747379101542,0.1541409152870323,0.1937962461917742,11.337806725965551,0.2744934388251525,0.6617335017827826,-9.754831988055397,-0.12035252353812018,0.4378912273817039,95.15674711518881,0.014484729921993771
10,0.5055426727919441,0.8316532888645862,0.3922200710185769,0.39627135232913224,1.0231996571380813,0.42062535412942115,0.10927132046281185,-0.19154636827349503,-0.028405283110844226,0.011940221475686524,0.03669001119876538,0.0008068601086072123
10,0.5350954507860199,1.379508107267008,0.37910072013165896,0.11962110604381292,18.36820048219876,0.4309244397026497,0.415474344742207,-16.98869237493175,-0.051823719570990745,0.1726189311389663,288.61566861006423,0.0026856979101726893
10,1.4205901612140663,1.0355053984835965,0.2487996159651881,1.3966678042696687,0.9925717197848579,0.38096491993983483,0.023922356944397594,0.04293367869873854,-0.13216530397464674,0.0005722791617751678,0.0018433007666065157,0.01746766757471077
10,0.76009317108987,0.7291058150872008,0.3571883819759425,0.5524706910480075,1.5336511450213486,0.3821863546022314,0.20762248004186246,-0.8045453299341477,-0.02499797262628889,0.04310709421873357,0.6472931879188466,0.0006248986354246886
10,1.7763102402611386,0.8594029553898249,0.47118419184630234,1.5299025748492692,1.436184946384656,0.7717494179158468,0.24640766541186943,-0.5767819909948312,-0.3005652260695445,0.060716737573727794,0.3326774651359615,0.09033945512223639
10,1.1433294319204408,1.3720419034364215,0.10665517025427147,0.5286591964160404,2.622282638529414,0.30042560026810566,0.6146702355044004,-1.2502407350929925,-0.1937704300138342,0.377819498415035,1.5631018956858662,0.03754697954774622
10,1.1459930963868854,0.9490827098487371,0.3902008906446671,0.7177073203152821,3.0614483055065946,0.6115375496830454,0.42828577607160334,-2.1123655956578578,-0.2213366590383783,0.18342870598525557,4.462088409718977,0.048989916634271324
10,1.604652024610981,0.8852666650349559,0.37386371502127824,1.6115710498388909,1.3634043413629369,0.31452905024180267,-0.006919025227909881,-0.478137676327981,0.05933466477947558,4.787291010445338e-05,0.2286156375243211,0.0035206024444927393
10,0.853282729085193,1.6706719406269328,0.27927620526604113,0.6699582701720126,2.0692239395831145,0.3695000799890521,0.1833244589131804,-0.39855199895618165,-0.09022387472301097,0.03360785723581036,0.15884369587196823,0.008140347570033577
10,1.9350603615807382,1.2944534334728206,0.40339532570852377,2.711170026079439,5.095772937097301,0.8005056942398008,-0.7761096644987009,-3.8013195036244807,-0.397110368531277,0.602346211328286,14.450029968635867,0.15769664479504664
10,1.025817355069785,0.7023508288780369,0.35352937404232265,0.0,1.0,0.6801794452056358,1.025817355069785,-0.2976491711219631,-0.3266500711633131,1.0523012459623695,0.08859502906959167,0.10670026899099753
10,1.2731825344899428,1.804199224256676,0.4436910013537406,1.0059352176522147,13.733994306556111,0.722966814957095,0.26724731683772807,-11.929795082299435,-0.2792758136033544,0.07142112835696501,142.3200107056558,0.07799498006381556
10,0.7594161794608716,0.8379735134895818,0.11017475807949345,0.45940397687417106,3.017592296758925,0.16755973022623358,0.3000122025867005,-2.179618783269343,-0.057384972146740126,0.09000732170092343,4.750738040380532,0.0032930350282821402
10,0.60318947671597,1.5054214956064855,0.3555249203188392,0.24875386952416995,8.832925223576709,0.3970227046590136,0.35443560719180006,-7.327503727970223,-0.041497784340174426,0.12562459964542,53.69231088341751,0.0017220661051436258
10,1.8657966181465093,1.5751978125070982,0.44322037558055516,2.0227491030433353,6.8300648431383495,0.9460897833110038,-0.156952484896826,-5.254867030631251,-0.5028694077304486,0.024634082515288397,27.613627509615302,0.2528776412311722
10,1.0282672880089545,1.1127555130459235,0.28886578240237026,1.188385994695168,0.7129810312334993,0.2703074801436586,-0.16011870668621353,0.39977448181242414,0.01855830225871169,0.025638000230865682,0.15981963630839224,0.00034441058272570343
10,1.3602266364633664,0.9953861016130634,0.28254102050142516,3.725908177603892,0.10882216170467632,-2.595921689727502,-2.3656815411405256,0.8865639399083871,2.878462710228927,5.596449154093013,0.7859956195458823,8.28554757417846
10,1.1107138532902305,1.00691105968661,0.31153871557413915,0.7459030987981783,1.1359345682425714,0.47452793303001733,0.36481075449205225,-0.12902350855596145,-0.1629892174558782,0.13308688659306042,0.016647065760090257,0.026565485006879545
10,1.9295094964333486,1.6612020037222424,0.1759143452158269,2.593081475853283,5.327833735076678,0.3997804584865216,-0.6635719794199346,-3.6666317313544354,-0.2238661132706947,0.44032777187129013,13.444188253375225,0.050116036670927504
10,1.6997212234124313,0.6536144824208683,0.290472407934682,3.1973160726705694,0.26500184649039876,-1.4271724163738995,-1.4975948492581381,0.3886126359304695,1.7176448243085813,2.2427903325245055,0.15101978080482764,2.9503037424740572
10,1.940739747605471,1.9135728828766803,0.1619734265225481,1.9217082084059844,7.189180738155079,0.5329256684751419,0.019031539199486636,-5.275607855278398,-0.3709522419525938,0.0003621994843015964,27.83203824267514,0.1376055658096557
